		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111110110  238  250  248  233  261  220  239  242  4.695820 0.789537 SUCCESS 143
111111000  231  231  250  222  245  249  218  227  7.917808 0.441540 SUCCESS 144
111111010  243  216  267  262  224  231  254  243  9.791476 0.279968 SUCCESS 145
111111100  234  262  267  246  250  239  238  231  5.166090 0.739686 SUCCESS 146
111111110  210  267  305  246  240  235  249  239 23.502401 0.002776 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  256  230  252  226  237  252  239  246  3.701261 0.883021 SUCCESS   0
000000011  237  249  248  237  250  237  235  239  1.419814 0.993961 SUCCESS   1
000000101  257  263  234  244  243  274  245  264  8.109517 0.422846 SUCCESS   2
000000111  239  242  232  230  254  237  226  253  3.952284 0.861403 SUCCESS   3
000001001  245  226  250  274  257  241  274  251 10.047794 0.261687 SUCCESS   4
000001011  269  252  263  253  229  246  271  268 11.186399 0.191360 SUCCESS   5
000001101  238  256  227  249  232  217  243  213  9.949292 0.268603 SUCCESS   6
000001111  269  225  236  235  239  231  215  278 14.100170 0.079192 SUCCESS   7
000010001  218  241  256  261  217  240  226  257 10.020256 0.263607 SUCCESS   8
000010011  247  254  253  288  268  222  274  244 17.207768 0.028017 SUCCESS   9
000010101  248  273  238  246  227  239  245  253  5.460539 0.707408 SUCCESS  10
000010111  266  248  279  269  241  244  253  242 10.259628 0.247274 SUCCESS  11
000011001  262  262  255  269  228  235  232  261  9.113608 0.332803 SUCCESS  12
000011011  222  270  218  266  245  224  247  226 12.975334 0.112701 SUCCESS  13
000011101  243  243  237  235  241  240  225  244  2.241728 0.972690 SUCCESS  14
000011111  274  252  243  223  239  230  230  247  7.776939 0.455557 SUCCESS  15
000100011  257  242  241  252  236  239  236  229  2.665395 0.953572 SUCCESS  16
000100101  259  211  241  242  246  222  259  251  8.873177 0.353107 SUCCESS  17
000100111  249  230  228  249  269  232  248  256  6.053673 0.641220 SUCCESS  18
000101001  221  269  270  246  237  265  257  258 11.317736 0.184338 SUCCESS  19
000101011  241  254  252  252  217  247  252  267  6.611854 0.579029 SUCCESS  20
000101101  227  240  247  238  229  251  246  271  5.752869 0.674892 SUCCESS  21
000101111  230  232  285  267  264  249  225  234 14.521718 0.069140 SUCCESS  22
000110011  273  250  243  273  242  250  236  266  9.688736 0.287556 SUCCESS  23
000110101  245  248  224  238  243  213  260  199 15.746116 0.046162 SUCCESS  24
000110111  251  234  238  272  262  236  244  250  5.865141 0.662335 SUCCESS  25
000111001  238  259  236  264  246  241  233  206  9.788298 0.280200 SUCCESS  26
000111011  247  222  233  225  248  244  252  244  4.509406 0.808491 SUCCESS  27
000111101  253  215  250  233  247  224  211  260 12.065509 0.148305 SUCCESS  28
000111111  264  272  240  205  225  230  250  255 14.565144 0.068173 SUCCESS  29
001000011  226  268  260  253  246  236  242  218  8.413498 0.394155 SUCCESS  30
001000101  222  243  236  262  244  272  233  279 12.681944 0.123272 SUCCESS  31
001000111  257  224  231  233  237  231  236  220  7.362804 0.498042 SUCCESS  32
001001011  267  222  208  256  244  243  256  246 11.034938 0.199727 SUCCESS  33
001001101  221  282  261  231  261  242  262  228 13.960360 0.082804 SUCCESS  34
001001111  250  240  251  261  263  242  245  229  4.125988 0.845581 SUCCESS  35
001010011  233  244  256  238  253  243  265  268  5.881029 0.660557 SUCCESS  36
001010101  226  235  248  236  236  240  237  244  2.654804 0.954121 SUCCESS  37
001010111  255  245  251  255  259  249  280  289 16.228038 0.039230 SUCCESS  38
001011011  240  232  260  214  245  243  258  260  7.499437 0.483826 SUCCESS  39
001011101  253  238  244  249  277  243  251  246  5.392752 0.714891 SUCCESS  40
001011111  247  254  257  233  263  279  265  251 10.383550 0.239131 SUCCESS  41
001100101  245  224  275  234  238  253  250  220  9.296844 0.317877 SUCCESS  42
001100111  252  281  247  267  246  247  237  229  9.509737 0.301134 SUCCESS  43
001101011  248  236  229  225  248  237  255  226  5.033694 0.753969 SUCCESS  44
001101101  238  233  236  244  235  242  226  266  4.754074 0.783509 SUCCESS  45
001101111  234  240  252  265  225  269  259  240  7.796004 0.453647 SUCCESS  46
001110101  238  289  223  242  246  252  221  247 13.178694 0.105847 SUCCESS  47
001110111  250  222  221  229  236  246  258  252  6.827924 0.555307 SUCCESS  48
001111011  203  233  262  251  250  239  229  251 10.670585 0.221072 SUCCESS  49
001111101  260  212  241  200  246  235  243  247 14.138300 0.078231 SUCCESS  50
001111111  249  262  228  231  277  226  228  250 10.504295 0.231398 SUCCESS  51
010000011  272  248  215  254  229  217  217  216 17.917410 0.021854 SUCCESS  52
010000111  230  253  228  248  256  228  230  229  5.857727 0.663165 SUCCESS  53
010001011  216  246  252  255  263  264  240  240  7.457070 0.488214 SUCCESS  54
010001111  230  227  248  220  244  227  240  236  6.211489 0.623555 SUCCESS  55
010010011  240  271  246  224  231  278  233  231 11.708569 0.164688 SUCCESS  56
010010111  242  242  223  250  247  239  234  244  2.655863 0.954066 SUCCESS  57
010011011  241  253  251  243  227  263  263  263  6.351299 0.607945 SUCCESS  58
010011111  254  233  234  231  274  236  239  243  6.279276 0.615980 SUCCESS  59
010100011  240  237  244  235  270  243  250  240  3.700202 0.883109 SUCCESS  60
010100111  247  243  237  243  261  229  220  257  5.604586 0.691427 SUCCESS  61
010101011  244  232  228  217  248  255  248  248  5.533622 0.699312 SUCCESS  62
010101111  230  251  244  213  243  239  278  265 11.974420 0.152349 SUCCESS  63
010110011  247  229  233  256  240  267  245  217  7.535448 0.480110 SUCCESS  64
010110111  217  226  251  242  241  244  251  247  5.005097 0.757031 SUCCESS  65
010111011  247  228  249  236  261  223  219  246  7.303491 0.504270 SUCCESS  66
010111111  223  269  245  239  247  278  264  256 11.794362 0.160617 SUCCESS  67
011000111  242  264  223  247  237  251  263  273  9.075478 0.335969 SUCCESS  68
011001111  240  251  244  255  242  252  237  247  1.305424 0.995487 SUCCESS  69
011010111  223  252  228  217  234  246  246  243  6.841694 0.553805 SUCCESS  70
011011111  245  224  250  214  257  230  253  225  9.141147 0.330529 SUCCESS  71
011101111  235  233  223  212  222  250  241  244  9.401702 0.309550 SUCCESS  72
011111111  248  258  256  241  273  256  236  223  7.818246 0.451423 SUCCESS  73
100000000  256  230  252  226  237  252  239  246  3.701261 0.883021 SUCCESS  74
100010000  246  262  241  248  241  228  223  210  9.440891 0.306478 SUCCESS  75
100100000  271  252  236  234  247  237  242  258  5.121605 0.744503 SUCCESS  76
100101000  253  241  261  251  235  255  216  234  6.421204 0.600160 SUCCESS  77
100110000  250  273  258  260  215  267  251  255 12.073982 0.147933 SUCCESS  78
100111000  241  233  245  256  252  243  258  237  2.465213 0.963333 SUCCESS  79
101000000  234  258  255  246  207  253  226  250  9.476903 0.303674 SUCCESS  80
101000100  265  255  250  247  286  231  223  215 16.171902 0.039985 SUCCESS  81
101001000  259  248  261  253  224  250  265  233  6.773907 0.561211 SUCCESS  82
101001100  245  255  243  242  227  259  257  249  3.511670 0.898282 SUCCESS  83
101010000  242  260  240  244  238  222  258  243  4.212839 0.837428 SUCCESS  84
101010100  238  251  245  257  260  264  265  239  5.763461 0.673708 SUCCESS  85
101011000  233  261  245  268  240  224  240  231  6.738954 0.565042 SUCCESS  86
101011100  223  263  238  235  235  261  259  277 10.987276 0.202421 SUCCESS  87
101100000  224  223  238  276  263  231  252  236 10.851702 0.210244 SUCCESS  88
101100100  262  258  273  238  260  258  228  271 11.905574 0.155467 SUCCESS  89
101101000  247  233  223  245  258  240  235  238  3.852722 0.870161 SUCCESS  90
101101100  247  231  250  217  255  265  250  285 13.600243 0.092799 SUCCESS  91
101110000  250  237  241  234  252  250  248  257  2.011889 0.980645 SUCCESS  92
101110100  254  243  255  232  239  237  270  257  5.407581 0.713256 SUCCESS  93
101111000  243  240  248  228  235  246  244  239  1.721677 0.988388 SUCCESS  94
101111100  239  255  263  222  236  232  249  237  5.413936 0.712555 SUCCESS  95
110000000  251  227  254  236  249  230  256  240  3.751042 0.878858 SUCCESS  96
110000010  212  237  250  302  251  245  271  249 22.288595 0.004408 FAILURE  97
110000100  237  248  238  241  241  224  262  252  3.852722 0.870161 SUCCESS  98
110001000  249  257  235  234  228  238  218  223  7.632892 0.470126 SUCCESS  99
110001010  235  234  282  275  217  236  239  256 15.008936 0.058972 SUCCESS 100
110010000  257  277  254  240  244  253  230  259  7.882855 0.444996 SUCCESS 101
110010010  262  227  240  249  239  247  241  264  4.630151 0.796275 SUCCESS 102
110010100  249  234  272  232  248  255  232  218  8.528948 0.383576 SUCCESS 103
110011000  252  242  254  276  216  266  235  260 11.798598 0.160419 SUCCESS 104
110011010  240  257  229  260  246  239  263  265  6.293045 0.614443 SUCCESS 105
110100000  241  250  252  263  223  249  227  252  5.456302 0.707876 SUCCESS 106
110100010  247  244  256  219  285  236  239  205 17.261785 0.027496 SUCCESS 107
110100100  270  255  226  241  256  266  263  239  9.016165 0.340934 SUCCESS 108
110101000  239  256  238  245  245  213  233  264  7.176391 0.517727 SUCCESS 109
110101010  256  248  225  238  272  279  276  243 15.124385 0.056772 SUCCESS 110
110101100  245  244  231  247  256  213  242  217  8.606267 0.376591 SUCCESS 111
110110000  219  228  254  263  265  234  255  251  8.680409 0.369969 SUCCESS 112
110110010  278  248  255  246  258  249  230  274 10.984098 0.202602 SUCCESS 113
110110100  278  220  222  250  262  239  233  257 12.239212 0.140846 SUCCESS 114
110111000  249  230  231  232  247  225  255  265  6.230554 0.621424 SUCCESS 115
110111010  226  251  262  234  243  233  259  242  4.866346 0.771761 SUCCESS 116
110111100  242  241  252  242  232  238  238  237  1.498193 0.992738 SUCCESS 117
111000000  252  247  230  232  267  234  229  268  7.801300 0.453117 SUCCESS 118
111000010  211  260  238  213  251  234  263  242 12.142828 0.144944 SUCCESS 119
111000100  242  253  234  209  248  243  225  226  9.024638 0.340222 SUCCESS 120
111000110  252  228  226  259  262  236  288  238 13.641550 0.091600 SUCCESS 121
111001000  203  243  229  253  238  229  236  255 10.382491 0.239199 SUCCESS 122
111001010  242  236  242  230  227  269  253  225  6.910540 0.546315 SUCCESS 123
111001100  256  250  243  271  223  264  228  215 12.068686 0.148165 SUCCESS 124
111010000  249  253  250  274  222  204  221  247 15.557584 0.049168 SUCCESS 125
111010010  252  252  242  249  263  259  253  248  3.489428 0.900009 SUCCESS 126
111010100  236  250  245  228  223  218  227  239  7.666785 0.466677 SUCCESS 127
111010110  243  262  233  250  253  246  234  241  2.853927 0.943187 SUCCESS 128
111011000  225  232  247  255  256  248  250  266  5.543154 0.698254 SUCCESS 129
111011010  249  226  215  262  253  255  229  261  9.450424 0.305734 SUCCESS 130
111011100  252  223  227  209  244  238  242  230  9.646370 0.290728 SUCCESS 131
111100000  256  236  241  232  264  238  246  277  7.967589 0.436643 SUCCESS 132
111100010  243  297  238  228  253  229  213  225 20.067520 0.010084 SUCCESS 133
111100100  232  236  236  263  229  226  257  251  5.955170 0.652254 SUCCESS 134
111100110  240  243  227  267  236  257  236  224  6.514411 0.589810 SUCCESS 135
111101000  252  213  245  259  229  226  236  239  8.059736 0.427657 SUCCESS 136
111101010  243  245  252  248  252  261  221  239  4.181064 0.840429 SUCCESS 137
111101100  249  234  246  242  243  258  250  266  3.563570 0.894200 SUCCESS 138
111101110  247  240  231  213  223  229  254  228  9.315909 0.316351 SUCCESS 139
111110000  241  236  248  216  267  230  256  270 10.232089 0.249113 SUCCESS 140
111110010  229  239  262  245  237  242  257  230  4.219194 0.836825 SUCCESS 141
111110100  238  224  236  218  230  232  236  240  6.866054 0.551151 SUCCESS 142
111110110  253  235  239  228  272  244  248  267  7.471898 0.486676 SUCCESS 143
111111000  257  244  251  225  271  234  250  243  6.098158 0.636238 SUCCESS 144
111111010  231  248  227  208  229  237  235  246  9.116786 0.332540 SUCCESS 145
111111100  243  252  260  258  273  253  263  252  7.789649 0.454283 SUCCESS 146
111111110  247  258  256  241  273  256  236  223  7.789649 0.454283 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
